UNITID,INSTNM,CITY,STABBR,ic2025,ic2025name,saec2025,saec2025name,research2025,research2025name,basic2021,control,sector_label,setting2025,setting2025name,ic2025size,size_label,highest_degree_2025,hbcu,hsi,tribal,womenonly,landgrant,pbi,annhsi,aanapisi,nasnti,medical,rpu,LONGITUD,LATITUDE,WEBADDR,COUNTYCD,cbsa_name,locale_group,admission_rate,grad_rate_6yr,completion_rate_8yr,still_enrolled_8yr,transfer_out_8yr,enrollment_total,enrollment_ug,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_aian,pct_nhpi,pct_two_or_more,pct_unknown,pct_nonresident,pell_2023,pell_ratio,saec_earnings,saec_compearn,earnings_ratio,saec_urm_ratio,access_ratio,saec_pct_urm,saec_pct_black,saec_pct_hispanic,saec_pct_asian,saec_pct_white,net_price,net_price_pub,net_price_priv,tuition_in_state,tuition_out_of_state,grad_debt_median,pct_federal_loan,herd_avg,sat_avg,act_avg,yield_rate,grad_ratio,academic_tier,athletic_association,ncaa_division,sports_offered,relaffil_label,primary_recruit_state,primary_recruit_pct
154350,Simpson College,Indianola,IA,5,Mixed Baccalaureate,4,"Higher Access, Medium Earnings",-2,No research designation,22,2,Private nonprofit,1,Highly residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-93.563471,41.365503,simpson.edu/,19181,"Des Moines-West Des Moines, IA",Town,89.0,69.0,69.5,0.3,4.9,1163.0,1140.0,53.0,75.0,4.0,11.0,2.0,0.0,0.0,4.0,1.0,2.0,0.330044843049327,1.12,50552.0,40093.87926372591,1.26,1.03,1.07,0.180869565217391,0.04,0.09,0.01,0.8,22925.0,,22925.0,45306.0,45306.0,26000.0,0.709,0.0,,32.0,23.4,minority,a-range,NCAA,NCAA Division III with football,"Baseball, Basketball, Track & Field, Football, Golf, Gymnastics, Soccer, Softball, Swimming, Tennis, Volleyball, Wrestling",United Methodist,Iowa,0.7162
169080,Calvin University,Grand Rapids,MI,5,Mixed Baccalaureate,3,"Lower Access, Medium Earnings",3,Research Colleges and Universities,20,2,Private nonprofit,1,Highly residential,2,Small,Master's,0,0,0,0,2,0,0,0,0,0,0,-85.587548,42.929916,www.calvin.edu/,26081,"Grand Rapids-Wyoming-Kentwood, MI",City,71.0,77.0,75.3,0.1,17.6,3364.0,3053.0,54.0,69.0,5.0,5.0,4.0,0.0,0.0,3.0,1.0,12.0,0.15037063183904,0.47,53142.0,37622.756215204776,1.41,0.56,0.52,0.136256851996868,0.06,0.05,0.06,0.81,23621.0,,23621.0,38370.0,38370.0,23250.0,0.3358,2787.0,1205,26.0,21.5,minority,a-range,NCAA,NCAA Division III without football,"Baseball, Basketball, Golf, Lacrosse, Soccer, Softball, Swimming and Diving, Tennis, Track and Field Indoor, Track and Field Outdoor, Track and Field X Country, Volleyball",Christian Reformed,Michigan,0.615
170301,Hope College,Holland,MI,5,Mixed Baccalaureate,3,"Lower Access, Medium Earnings",3,Research Colleges and Universities,21,2,Private nonprofit,1,Highly residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-86.100971,42.787247,https://hope.edu/,26139,"Grand Rapids-Wyoming-Kentwood, MI",City,76.0,81.0,77.8,0.0,7.7,3368.0,3368.0,60.0,78.0,3.0,8.0,3.0,0.0,0.0,4.0,2.0,2.0,0.168454258675079,0.53,55768.0,37322.7559740352,1.49,0.65,0.59,0.153164972122007,0.04,0.08,0.02,0.82,23985.0,,23985.0,37240.0,37240.0,26800.0,0.4972,6158.666666666667,1200,28.5,21.1,none,a-range,NCAA,NCAA Division III with football,"Baseball, Basketball, Track & Field, Football, Golf, Lacrosse, Soccer, Softball, Swimming and Diving, Tennis, Volleyball",Reformed Church in America,Michigan,0.6943
181446,Nebraska Wesleyan University,Lincoln,NE,5,Mixed Baccalaureate,3,"Lower Access, Medium Earnings",-2,No research designation,20,2,Private nonprofit,1,Highly residential,3,Medium,Master's,0,0,0,0,2,0,0,0,0,0,0,-96.64831,40.839098,https://www.nebrwesleyan.edu/,31109,"Lincoln, NE",City,84.0,66.0,63.0,0.2,23.7,1690.0,1531.0,55.0,75.0,4.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.295984455958549,1.05,52815.0,40000.468092964154,1.32,0.83,0.94,0.169665809768638,0.04,0.1,0.03,0.8,23117.0,,23117.0,40648.0,40648.0,26970.0,0.5961,0.0,1115,24.5,22.9,minority,b-plus,NCAA,NCAA Division III with football,"Baseball, Basketball, Track & Field, Football, Golf, Soccer, Softball, Swimming, Tennis, Volleyball, Wrestling",United Methodist,Nebraska,0.7405
229267,Trinity University,San Antonio,TX,5,Mixed Baccalaureate,5,"Lower Access, Higher Earnings",3,Research Colleges and Universities,21,2,Private nonprofit,1,Highly residential,2,Small,Master's,0,0,0,0,2,0,0,0,0,0,0,-98.48186,29.462682,https://new.trinity.edu/,48029,"San Antonio-New Braunfels, TX",City,28.0,80.0,78.5,0.1,17.2,2694.0,2531.0,54.0,53.0,4.0,25.0,8.0,0.0,0.0,5.0,1.0,5.0,0.165395423524689,0.49,66445.0,38790.546772122725,1.71,0.72,0.61,0.347880822492656,0.04,0.26,0.08,0.57,23567.0,,23567.0,50712.0,50712.0,22954.0,0.2921,3952.6666666666665,1392,31.5,20.5,minority,a-range,NCAA,NCAA Division III with football,"Baseball, Basketball, Football, Golf, Soccer, Softball, Swimming and Diving, Tennis, Track and Field Indoor, Track and Field Outdoor, Track and Field X Country, Volleyball",Presbyterian Church (USA),Texas,0.8086
104151,Arizona State University Campus Immersion,Tempe,AZ,6,Mixed Undergraduate/Graduate-Doctorate Large,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,3,Residential,5,Very Large,Doctorate,0,1,0,0,2,0,0,0,0,0,0,-111.934383,33.417721,www.asu.edu/,4013,"Phoenix-Mesa-Chandler, AZ",City,90.0,66.0,67.9,0.5,19.7,79593.0,65174.0,48.0,40.0,4.0,23.0,8.0,1.0,0.0,4.0,4.0,16.0,0.3337,1.02,58779.0,38068.559460235636,1.54,1.03,1.02,0.400447231462176,0.05,0.29,0.1,0.5,12817.0,12817.0,,11308.0,31450.0,19500.0,0.2853,792768.6666666666,,,22.7,minority,,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Beach Volleyball, Track & Field, Football, Golf, Gymnastics, Ice Hockey, Lacrosse, Soccer, Softball, Swimming and Diving, Tennis, Volleyball, Water Polo, Wrestling",,Arizona,0.549
110653,University of California-Irvine,Irvine,CA,6,Mixed Undergraduate/Graduate-Doctorate Large,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,1,Highly residential,4,Large,Doctorate,0,1,0,0,1,0,0,1,0,1,0,-117.841248,33.648434,www.uci.edu/,6059,"Los Angeles-Long Beach-Anaheim, CA",City,26.0,84.0,86.9,0.2,8.9,36582.0,29503.0,55.0,15.0,2.0,24.0,35.0,0.0,0.0,6.0,2.0,16.0,0.373041080590555,1.27,67970.0,43747.39282622139,1.55,0.88,1.07,0.403409979665259,0.02,0.31,0.44,0.15,12426.0,12426.0,,11834.0,42611.0,15000.0,0.2105,556104.3333333334,,,21.9,minority,a-range,NCAA,NCAA Division I without football,"Baseball, Basketball, Golf, Soccer, Tennis, Track and Field Indoor, Track and Field Outdoor, Track and Field X Country, Volleyball, Water Polo",,California,0.9111
110680,University of California-San Diego,La Jolla,CA,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,1,Highly residential,5,Very Large,Doctorate,0,0,0,0,1,0,0,1,0,1,0,-117.235866,32.877749,www.ucsd.edu/,6073,"San Diego-Chula Vista-Carlsbad, CA",City,25.0,89.0,89.7,0.3,4.4,42376.0,33792.0,52.0,19.0,2.0,22.0,31.0,0.0,0.0,6.0,2.0,18.0,0.328961682581893,1.12,77893.0,43796.975326955624,1.78,0.82,0.97,0.377074475380606,0.02,0.28,0.4,0.22,15069.0,15069.0,,11834.0,42611.0,15500.0,0.2405,1554755.3333333333,,,21.8,minority,a-range,NCAA,NCAA Division II without football,"Baseball, Basketball, Track & Field, Fencing, Golf, Rowing, Soccer, Softball, Swimming, Tennis, Volleyball, Water Polo",,California,0.8812
122409,San Diego State University,San Diego,CA,6,Mixed Undergraduate/Graduate-Doctorate Large,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,16,1,Public,3,Residential,4,Large,Doctorate,0,1,0,0,2,0,0,1,0,0,1,-117.071228,32.77525,https://www.sdsu.edu/,6073,"San Diego-Chula Vista-Carlsbad, CA",City,34.0,76.0,80.1,0.4,12.5,39241.0,34050.0,57.0,34.0,4.0,36.0,13.0,0.0,0.0,7.0,3.0,4.0,0.31760452687834,1.24,61120.0,40246.06578577886,1.52,1.23,1.24,0.495280955059691,0.04,0.37,0.14,0.37,12721.0,12721.0,,5742.0,17622.0,15000.0,0.1937,131818.66666666666,,,21.6,minority,a-range,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Track & Field, Football, Golf, Lacrosse, Soccer, Softball, Swimming and Diving, Tennis, Volleyball, Water Polo",,California,0.7942
131469,George Washington University,Washington,DC,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,2,Private nonprofit,1,Highly residential,4,Large,Doctorate,0,0,0,0,2,0,0,0,0,1,0,-77.048363,38.89923,https://www.gwu.edu/,11001,"Washington-Arlington-Alexandria, DC-VA-MD-WV",City,44.0,84.0,83.7,0.2,11.0,25568.0,11387.0,62.0,44.0,10.0,10.0,13.0,0.0,0.0,4.0,4.0,14.0,0.157714391553991,0.53,78974.0,40715.60069291901,1.94,0.87,0.7,0.295195400058474,0.09,0.15,0.15,0.55,34462.0,,34462.0,64508.0,64508.0,20449.0,0.3266,300617.0,1425,32.5,21.5,majority,straight-a,NCAA,NCAA Division I without football,"Baseball, Basketball, Track & Field, Golf, Gymnastics, Lacrosse, Rowing, Soccer, Softball, Swimming and Diving, Tennis, Volleyball, Water Polo",,New York,0.1185
